symbol,date,start_ts,end_ts,open,high,low,close,vwap,volume,trade_count,bid_price,bid_size,ask_price,ask_size
AAPL,1/3/2023,1/3/2023 4:00,1/3/2023 4:01,130.28,131,130.06,130.89,130.8612311,8074,207,130.85,100,131.01,400
AAPL,1/3/2023,1/3/2023 4:01,1/3/2023 4:02,130.89,131.18,130.85,131.1,130.9552426,8820,157,131.1,400,131.18,400
AAPL,1/3/2023,1/3/2023 4:02,1/3/2023 4:03,131.17,131.29,131.1,131.19,131.2087689,2112,53,131.15,200,131.2,100
AAPL,1/3/2023,1/3/2023 4:03,1/3/2023 4:04,131.17,131.29,131.15,131.28,131.2207896,3888,90,131.21,400,131.29,1200
AAPL,1/3/2023,1/3/2023 4:04,1/3/2023 4:05,131.28,131.46,131.24,131.4,131.3278994,5984,88,131.33,900,131.52,400
AAPL,1/3/2023,1/3/2023 4:05,1/3/2023 4:06,131.36,131.44,131.22,131.29,131.3368075,9328,157,131.24,100,131.29,200
AAPL,1/3/2023,1/3/2023 4:06,1/3/2023 4:07,131.25,131.25,131.06,131.1,131.1879613,10546,101,131.02,100,131.13,900
AAPL,1/3/2023,1/3/2023 4:07,1/3/2023 4:08,131.12,131.12,131.01,131.06,131.097554,1296,40,131,300,131.09,400
AAPL,1/3/2023,1/3/2023 4:08,1/3/2023 4:09,131.02,131.05,131,131.05,131.0080514,3931,70,131,300,131.1,1000
AAPL,1/3/2023,1/3/2023 4:09,1/3/2023 4:10,131.03,131.17,131,131.08,131.0613323,5029,95,131.02,300,131.19,100
AAPL,1/3/2023,1/3/2023 4:10,1/3/2023 4:11,131.16,131.27,131.13,131.2,131.2121811,1866,43,131.16,200,131.22,300
AAPL,1/3/2023,1/3/2023 4:11,1/3/2023 4:12,131.19,131.3,131.15,131.21,131.2088136,1239,33,131.15,200,131.3,2000
AAPL,1/3/2023,1/3/2023 4:12,1/3/2023 4:13,131.21,131.35,131.2,131.28,131.2453414,2314,49,131.21,200,131.3,2000
AAPL,1/3/2023,1/3/2023 4:13,1/3/2023 4:14,131.28,131.35,131.24,131.25,131.2905578,1721,27,131.27,100,131.3,1800
AAPL,1/3/2023,1/3/2023 4:14,1/3/2023 4:15,131.28,131.28,131.2,131.21,131.2393123,698,27,131.13,100,131.29,300
AAPL,1/3/2023,1/3/2023 4:15,1/3/2023 4:16,131.21,131.27,131.17,131.21,131.2264463,363,29,131.12,100,131.24,100
AAPL,1/3/2023,1/3/2023 4:16,1/3/2023 4:17,131.21,131.29,131.09,131.29,131.2040871,2136,72,131.12,400,131.3,1800
AAPL,1/3/2023,1/3/2023 4:17,1/3/2023 4:18,131.29,131.36,131.22,131.29,131.3026405,2704,37,131.15,400,131.3,300
AAPL,1/3/2023,1/3/2023 4:18,1/3/2023 4:19,131.28,131.32,131.2,131.28,131.2859461,6971,46,131.21,100,131.3,100
AAPL,1/3/2023,1/3/2023 4:19,1/3/2023 4:20,131.28,131.28,131.04,131.1,131.1294336,2984,70,131,500,131.12,400
AAPL,1/3/2023,1/3/2023 4:20,1/3/2023 4:21,131.05,131.13,130.97,131.13,131.0055997,5136,98,131,200,131.17,400
AAPL,1/3/2023,1/3/2023 4:21,1/3/2023 4:22,131.03,131.1,130.95,131,130.9901854,5555,64,130.94,1000,131.1,200
AAPL,1/3/2023,1/3/2023 4:22,1/3/2023 4:23,131.05,131.05,131,131.03,131.0192105,266,12,131.02,100,131.05,100
AAPL,1/3/2023,1/3/2023 4:23,1/3/2023 4:24,131.05,131.05,131.01,131.04,131.0342218,2011,23,131.02,100,131.1,200
AAPL,1/3/2023,1/3/2023 4:24,1/3/2023 4:25,131.04,131.16,131.02,131.15,131.0850697,6170,86,131.06,100,131.18,200
AAPL,1/3/2023,1/3/2023 4:25,1/3/2023 4:26,131.16,131.18,131.11,131.12,131.1505204,269,23,131.08,400,131.18,200
AAPL,1/3/2023,1/3/2023 4:26,1/3/2023 4:27,131.16,131.18,131.04,131.08,131.1046095,1178,39,131,100,131.14,100
AAPL,1/3/2023,1/3/2023 4:27,1/3/2023 4:28,131.05,131.07,130.9,130.93,130.946553,2785,94,130.83,400,130.97,100
AAPL,1/3/2023,1/3/2023 4:28,1/3/2023 4:29,130.95,130.97,130.89,130.89,130.9092197,833,35,130.88,400,130.97,100
AAPL,1/3/2023,1/3/2023 4:29,1/3/2023 4:30,130.9,130.92,130.89,130.92,130.8968512,289,16,130.89,400,130.95,100
AAPL,1/3/2023,1/3/2023 4:30,1/3/2023 4:31,130.95,130.97,130.9,130.97,130.9269423,4814,74,130.92,100,130.97,100
AAPL,1/3/2023,1/3/2023 4:31,1/3/2023 4:32,130.96,130.97,130.89,130.9,130.9126157,929,37,130.87,100,130.97,100
AAPL,1/3/2023,1/3/2023 4:32,1/3/2023 4:33,130.89,130.96,130.89,130.96,130.9195405,370,13,130.91,400,130.97,100
AAPL,1/3/2023,1/3/2023 4:33,1/3/2023 4:34,130.93,130.97,130.93,130.94,130.9357792,154,11,130.91,100,130.97,100
AAPL,1/3/2023,1/3/2023 4:34,1/3/2023 4:35,130.97,131,130.94,130.99,130.9629251,988,33,130.95,100,131,100
AAPL,1/3/2023,1/3/2023 4:35,1/3/2023 4:36,130.99,131.09,130.99,131.09,131.0232065,552,24,131.01,100,131.14,200
AAPL,1/3/2023,1/3/2023 4:36,1/3/2023 4:37,131.08,131.09,131.07,131.09,131.0829231,325,19,131.01,100,131.14,200
AAPL,1/3/2023,1/3/2023 4:37,1/3/2023 4:38,131.07,131.07,131,131,131.0273932,234,12,131,100,131.08,100
AAPL,1/3/2023,1/3/2023 4:38,1/3/2023 4:39,131,131.06,131,131,131.0035354,198,18,130.95,400,131.08,100
AAPL,1/3/2023,1/3/2023 4:39,1/3/2023 4:40,131.02,131.04,131.02,131.04,131.0246809,141,9,130.96,400,131.08,100
AAPL,1/3/2023,1/3/2023 4:40,1/3/2023 4:41,131.02,131.19,131.02,131.14,131.1183072,8241,86,131.11,100,131.2,500
AAPL,1/3/2023,1/3/2023 4:41,1/3/2023 4:42,131.19,131.24,131.1,131.24,131.1972844,545,20,131.14,200,131.25,300
AAPL,1/3/2023,1/3/2023 4:42,1/3/2023 4:43,131.2,131.24,131.2,131.23,131.2280392,51,8,131.18,100,131.25,300
AAPL,1/3/2023,1/3/2023 4:43,1/3/2023 4:44,131.21,131.21,131.02,131.14,131.0658137,2372,44,131.06,400,131.22,400
AAPL,1/3/2023,1/3/2023 4:44,1/3/2023 4:45,131.14,131.17,131.1,131.14,131.1386111,36,6,131.1,400,131.24,400
AAPL,1/3/2023,1/3/2023 4:45,1/3/2023 4:46,131.2,131.29,131.14,131.29,131.2482564,3378,47,131.23,100,131.3,4700
AAPL,1/3/2023,1/3/2023 4:46,1/3/2023 4:47,131.23,131.3,131.23,131.29,131.2876731,1401,23,131.24,200,131.3,4400
AAPL,1/3/2023,1/3/2023 4:47,1/3/2023 4:48,131.29,131.29,131.24,131.29,131.2747222,72,9,131.24,200,131.29,100
AAPL,1/3/2023,1/3/2023 4:48,1/3/2023 4:49,131.29,131.29,131.15,131.15,131.2339977,853,24,131.05,400,131.2,100
AAPL,1/3/2023,1/3/2023 4:49,1/3/2023 4:50,131.2,131.3,131.15,131.3,131.277061,5080,28,131.17,400,131.3,2100
AAPL,1/3/2023,1/3/2023 4:50,1/3/2023 4:51,131.25,131.3,131.17,131.27,131.2493126,771,17,131.18,100,131.3,1800
AAPL,1/3/2023,1/3/2023 4:51,1/3/2023 4:52,131.27,131.3,131.25,131.25,131.2786683,413,16,131.2,500,131.29,200
AAPL,1/3/2023,1/3/2023 4:52,1/3/2023 4:53,131.28,131.28,131.28,131.28,131.28,16,4,131.21,300,131.28,500
AAPL,1/3/2023,1/3/2023 4:53,1/3/2023 4:54,131.26,131.3,131.24,131.27,131.2852737,548,20,131.2,500,131.27,200
AAPL,1/3/2023,1/3/2023 4:54,1/3/2023 4:55,131.25,131.26,131.23,131.26,131.2434184,196,15,131.23,100,131.27,200
AAPL,1/3/2023,1/3/2023 4:55,1/3/2023 4:56,131.24,131.27,131.23,131.23,131.2307208,1540,15,131.23,100,131.26,400
AAPL,1/3/2023,1/3/2023 4:56,1/3/2023 4:57,131.23,131.28,131.22,131.23,131.235826,2149,42,131.22,200,131.28,600
AAPL,1/3/2023,1/3/2023 4:57,1/3/2023 4:58,131.25,131.25,131.22,131.23,131.2315481,239,10,131.22,100,131.25,600
